[HTTP] 17/01/2024 15:31:50 <info> Server listening on port
[HTTP] 17/01/2024 15:39:24 <info> Server listening on port
[HTTP] 17/01/2024 15:39:26 <info> Server listening on port
[HTTP] 17/01/2024 15:39:31 <info> Server listening on port
[HTTP] 17/01/2024 15:39:42 <info> Server listening on port
[HTTP] 17/01/2024 15:39:44 <info> Server listening on port
[HTTP] 17/01/2024 15:39:46 <info> Server listening on port
[HTTP] 17/01/2024 15:39:55 <info> Server listening on port
[HTTP] 17/01/2024 15:40:01 <info> Server listening on port
[HTTP] 17/01/2024 15:40:05 <info> Server listening on port
[HTTP] 17/01/2024 15:40:10 <info> Server listening on port
[HTTP] 17/01/2024 15:40:12 <info> Server listening on port
[HTTP] 17/01/2024 15:40:15 <info> Server listening on port
[HTTP] 17/01/2024 15:40:17 <info> Server listening on port
[HTTP] 17/01/2024 15:41:31 <info> Server listening on port
[HTTP] 17/01/2024 15:41:57 <info> Server listening on port
[HTTP] 17/01/2024 15:43:02 <info> Server listening on port
[HTTP] 17/01/2024 15:43:18 <info> Server listening on port
[HTTP] 17/01/2024 15:43:19 <info> Server listening on port
[HTTP] 17/01/2024 15:44:04 <info> Request for the home page
[HTTP] 17/01/2024 15:44:29 <info> Server listening on port
[HTTP] 17/01/2024 15:44:31 <info> Request for the home page
[HTTP] 1/17/2024, 4:20:16 PM <info> Server listening on port
[HTTP] 1/17/2024, 4:22:32 PM <info> Server listening on port
[HTTP] 17/01/2024 16:23:27 <info> Server listening on port
[HTTP] 17/01/2024 16:24:08 <info> Server listening on port 8080
[HTTP] 17/01/2024 16:24:35 <info> Server listening on port 8080
[HTTP] 17/01/2024 16:24:55 <info> Server listening on port 8080
[HTTP] 17/01/2024 16:25:05 <info> Server listening on port 8080
[HTTP] 17/01/2024 16:26:12 <info> Server listening on port 8080
[HTTP] 17/01/2024 16:26:51 <info> Server listening on port 8080
[HTTP] 1/17/2024, 4:27:05 PM <info> Server listening on port 80
[HTTP] 1/17/2024, 4:27:23 PM <info> Request for the home page
[HTTP] 1/17/2024, 4:28:00 PM <info> Server listening on port 80
[HTTP] 1/17/2024, 4:28:32 PM <info> Request for the home page
[HTTP] 1/17/2024, 4:28:33 PM <info> Request for the home page
[HTTP] 1/17/2024, 4:30:23 PM <info> Server listening on port 80
[HTTP] 1/17/2024, 4:30:38 PM <info> Server listening on port 80
[HTTP] 1/17/2024, 4:30:52 PM <info> Server listening on port 80
[HTTP] 1/18/2024, 8:10:49 AM <info> Server listening on port 80
[HTTP] 1/18/2024, 8:20:52 AM <info> Server listening on port 80
[HTTP] 1/18/2024, 2:02:22 PM <info> Server listening on port 80
[HTTP] 1/18/2024, 2:03:15 PM <info> Server listening on port 80
[HTTP] 1/18/2024, 2:03:48 PM <info> Request for the home page
[HTTP] 1/18/2024, 2:06:26 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:31:01 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:31:07 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:31:14 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:31:20 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:34:20 PM <info> Request for the home page
[HTTP] 1/22/2024, 4:36:18 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:39:07 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:39:59 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:40:10 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:40:19 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:40:26 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:42:09 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:42:10 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:42:49 PM <info> Server listening on port 80
[HTTP] 1/22/2024, 4:42:51 PM <info> Server listening on port 80
